,head,relation,tail
645,8278,start_time,10
646,8279,start_time,10
647,8280,start_time,10
648,8281,start_time,10
649,8282,start_time,10
650,8283,start_time,10
651,8284,start_time,10
652,8285,start_time,10
653,8286,start_time,10
654,8287,start_time,10
655,8288,start_time,10
656,8289,start_time,10
657,8290,start_time,10
658,8291,start_time,10
659,8292,start_time,10
660,8293,start_time,10
661,8294,start_time,10
662,8295,start_time,0
663,8296,start_time,0
664,8297,start_time,0
665,8298,start_time,0
666,8299,start_time,0
667,8300,start_time,0
668,8301,start_time,0
669,8302,start_time,0
670,8303,start_time,0
671,8304,start_time,18
672,8305,start_time,0
673,8306,start_time,0
674,8307,start_time,0
675,8308,start_time,0
676,8309,start_time,10
677,8310,start_time,10
678,8311,start_time,10
679,8312,start_time,10
680,8313,start_time,1300
681,8314,start_time,1000
682,8315,start_time,1000
683,8316,start_time,1000
684,8317,start_time,1000
685,8318,start_time,1000
686,8319,start_time,1000
687,8320,start_time,1000
688,8321,start_time,1700
689,8322,start_time,1000
690,8323,start_time,1000
691,8324,start_time,1000
692,8325,start_time,1000
693,8326,start_time,300
694,8327,start_time,100
695,8328,start_time,1000
696,8329,start_time,1000
697,8330,start_time,1100
698,8331,start_time,1000
699,8332,start_time,1100
700,8333,start_time,1000
701,8334,start_time,1700
702,8335,start_time,1500
703,8336,start_time,1500
704,8337,start_time,1000
705,8338,start_time,1000
706,8339,start_time,800
707,8340,start_time,800
708,8341,start_time,1000
709,8342,start_time,1000
710,8343,start_time,1000
711,8344,start_time,1000
712,8345,start_time,1000
713,8346,start_time,1000
714,8347,start_time,1000
715,8348,start_time,1000
716,8349,start_time,800
717,8350,start_time,1000
718,8351,start_time,1000
719,8352,start_time,10
720,8353,start_time,10
721,8354,start_time,13
722,8355,start_time,0
723,8356,start_time,0
724,8357,start_time,0
725,8358,start_time,0
726,8359,start_time,0
727,8360,start_time,0
728,8361,start_time,0
729,8362,start_time,0
730,8363,start_time,0
731,8364,start_time,0
732,8365,start_time,0
733,8366,start_time,0
734,8367,start_time,0
735,8368,start_time,0
736,8369,start_time,0
737,8370,start_time,0
738,8371,start_time,0
739,8372,start_time,0
740,8373,start_time,0
741,8374,start_time,0
742,8375,start_time,0
743,8376,start_time,0
744,8377,start_time,0
745,8378,start_time,0
746,8379,start_time,0
747,8380,start_time,0
748,8381,start_time,0
749,8382,start_time,0
750,8383,start_time,0
751,8384,start_time,0
752,8385,start_time,0
753,8386,start_time,0
754,8387,start_time,0
755,8388,start_time,0
756,8389,start_time,0
757,8390,start_time,0
758,8391,start_time,0
759,8392,start_time,0
760,8393,start_time,0
761,8394,start_time,0
762,8395,start_time,0
763,8396,start_time,0
764,8397,start_time,0
765,8398,start_time,0
766,8399,start_time,0
767,8400,start_time,0
768,8401,start_time,0
769,8402,start_time,0
770,8403,start_time,0
771,8404,start_time,0
772,8405,start_time,0
773,8406,start_time,0
774,8407,start_time,0
775,8408,start_time,0
776,8409,start_time,16
777,8410,start_time,10
778,8411,start_time,10
779,8412,start_time,10
780,8413,start_time,8
781,8414,start_time,8
782,8415,start_time,5
783,8416,start_time,5
784,8417,start_time,8
785,8418,start_time,8
786,8419,start_time,8
787,8420,start_time,8
788,8421,start_time,8
789,8422,start_time,8
790,8423,start_time,8
791,8424,start_time,5
792,8425,start_time,5
793,8426,start_time,8
794,8427,start_time,8
795,8428,start_time,5
796,8429,start_time,8
797,8430,start_time,5
798,8431,start_time,5
799,8432,start_time,8
800,8433,start_time,5
801,8434,start_time,5
802,8435,start_time,5
803,8436,start_time,8
804,8437,start_time,8
805,8438,start_time,5
806,8439,start_time,8
807,8440,start_time,5
808,8441,start_time,5
809,8442,start_time,5
810,8443,start_time,14
811,8444,start_time,14
812,8445,start_time,14
813,8446,start_time,14
814,8447,start_time,14
815,8448,start_time,14
816,8449,start_time,0시
817,8450,start_time,0
818,8451,start_time,00시
819,8452,start_time,13
820,8453,start_time,15
821,8454,start_time,13
822,8455,start_time,10
823,8456,start_time,15
824,8457,start_time,15
825,8458,start_time,15
826,8459,start_time,15
827,8460,start_time,15
828,8461,start_time,15
829,8462,start_time,15
830,8463,start_time,15
831,8464,start_time,09월 17일
832,8465,start_time,09월 17일
833,8466,start_time,08월 23일
834,8467,start_time,08월 23일
835,8468,start_time,
836,8469,start_time,08월 23일
837,8470,start_time,08월 23일
838,8471,start_time,09월 17일
839,8472,start_time,7
840,8473,start_time,10
841,8474,start_time,10
842,8475,start_time,9
843,8476,start_time,9
844,8477,start_time,12
845,8478,start_time,15
846,8479,start_time,14
847,8480,start_time,13
848,8481,start_time,13
849,8482,start_time,14
850,8483,start_time,14
851,8484,start_time,14
852,8485,start_time,13
853,8486,start_time,12
854,8487,start_time,17
855,8488,start_time,15
856,8489,start_time,14
857,8490,start_time,14
858,8491,start_time,15
859,8492,start_time,14
860,8493,start_time,14
861,8494,start_time,14
862,8495,start_time,14
863,8496,start_time,14
864,8497,start_time,14
865,8498,start_time,15
866,8499,start_time,13
867,8500,start_time,14
868,8501,start_time,16
869,8502,start_time,12
870,8503,start_time,15
871,8504,start_time,13
872,8505,start_time,13
873,8506,start_time,13
874,8507,start_time,13
875,8508,start_time,13
876,8509,start_time,13
877,8510,start_time,13
878,8511,start_time,13
879,8512,start_time,10
880,8513,start_time,10
881,8514,start_time,
882,8515,start_time,
883,8516,start_time,
884,8517,start_time,
885,8518,start_time,
886,8519,start_time,
887,8520,start_time,
888,8521,start_time,
889,8522,start_time,
890,8523,start_time,
891,8524,start_time,
892,8525,start_time,6
893,8526,start_time,8
894,8527,start_time,15
895,8528,start_time,23
896,8529,start_time,23
897,8530,start_time,23
898,8531,start_time,23
899,8532,start_time,14
900,8533,start_time,14
901,8534,start_time,14
902,8535,start_time,14
903,8536,start_time,14
904,8537,start_time,14
905,8538,start_time,14
906,8539,start_time,1000
907,8540,start_time,1100
908,8541,start_time,300
909,8542,start_time,300
910,8543,start_time,300
911,8544,start_time,300
912,8545,start_time,300
913,8546,start_time,300
914,8547,start_time,300
915,8548,start_time,300
916,8549,start_time,1300
917,8550,start_time,1300
918,8551,start_time,1300
919,8552,start_time,1300
920,8553,start_time,1300
921,8554,start_time,800
922,8555,start_time,800
923,8556,start_time,700
924,8557,start_time,700
925,8558,start_time,700
926,8559,start_time,800
927,8560,start_time,800
928,8561,start_time,800
929,8562,start_time,800
930,8563,start_time,800
931,8564,start_time,800
932,8565,start_time,800
933,8566,start_time,800
934,8567,start_time,800
935,8568,start_time,100
936,8569,start_time,1100
937,8570,start_time,1000
938,8571,start_time,1300
939,8572,start_time,1000
940,8573,start_time,1000
941,8574,start_time,1000
942,8575,start_time,1600
943,8576,start_time,1000
944,8577,start_time,1000
945,8578,start_time,1800
946,8579,start_time,1800
947,8580,start_time,1800
948,8581,start_time,500
949,8582,start_time,500
950,8583,start_time,1000
951,8584,start_time,1000
952,8585,start_time,800
953,8586,start_time,800
954,8587,start_time,100
955,8588,start_time,100
956,8589,start_time,1100
957,8590,start_time,1100
958,8591,start_time,0
959,8592,start_time,0
960,8593,start_time,0
961,8594,start_time,0
962,8595,start_time,0
963,8596,start_time,0
964,8597,start_time,0
965,8598,start_time,0
966,8599,start_time,0
967,8600,start_time,0
968,8601,start_time,0
969,8602,start_time,0
970,8603,start_time,0
971,8604,start_time,0
972,8605,start_time,0
973,8606,start_time,0
974,8607,start_time,0
975,8608,start_time,0
976,8609,start_time,0
